Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ali, Abid; Jamil, Faisal; Whangbo, Taegkeun; Ahmad, Shabir; ",AI-enabled cybernetic analytics of security models for smart serious games-based mobile operating systems,Proc. Artif. Intell. Trends Technol.,,,2-5,2022,
"Mardieva, Sevara; Sabina, Umirzakova; Ahmad, Shabir; Whangbo, Taeg Keun; ",Deep Residual Feature Distillation Network for Lightweight Image Super Resolution,한국방송미디어공학회 학술발표대회 논문집,,,306-309,2023,
"Rasool, MJ Aashiik; Ahmed, Shabir; Sabina, Umirzakova; Whangbo, Taeg Jeun; ",MRESR: Multi-agent Reinforcement learning for Efficient Super-Resolution,한국방송미디어공학회 학술발표대회 논문집,,,460-463,2023,
"Babar, Farah Farid; Jamil, Faisal; Alsboui, Tariq; Babar, Faiza Fareed; Ahmad, Shabir; Alkanhel, Reem Ibrahim; ",Federated Active Learning with Transfer Learning: Empowering Edge Intelligence for Enhanced Lung Cancer Diagnosis,2024 International Wireless Communications and Mobile Computing (IWCMC),,,1333-1338,2024,IEEE
